model,decoy_strength,p_treated,p_control,shift
True (empirical),0.0,0.08070175438596491,0.07597765363128492,0.004724100754679994
True (empirical),0.5,0.13989071038251366,0.09396751740139211,0.04592319298112155
True (empirical),1.0,0.18785796105383734,0.08241758241758242,0.10544037863625493
True (empirical),2.0,0.3886363636363636,0.07419712070874862,0.314439242927615
MNL,0.0,0.08627119660377502,0.08998499065637589,-0.0037137940526008606
MNL,0.5,0.08823388814926147,0.08739084005355835,0.000843048095703125
MNL,1.0,0.08665118366479874,0.09112029522657394,-0.0044691115617752075
MNL,2.0,0.08828867226839066,0.09039495885372162,-0.002106286585330963
DeepMNL,0.0,0.09540129452943802,0.09888289123773575,-0.0034815967082977295
DeepMNL,0.5,0.0975632295012474,0.09631149470806122,0.0012517347931861877
DeepMNL,1.0,0.0956672728061676,0.10035088658332825,-0.0046836137771606445
DeepMNL,2.0,0.0974496528506279,0.09946099668741226,-0.002011343836784363
Set Transformer,0.0,0.11900719255208969,0.1006188690662384,0.018388323485851288
Set Transformer,0.5,0.12079884111881256,0.09827931225299835,0.02251952886581421
Set Transformer,1.0,0.11920338124036789,0.10228346288204193,0.016919918358325958
Set Transformer,2.0,0.12043067812919617,0.10163360834121704,0.018797069787979126
