model,context_strength,n,nll,accuracy
Bayes-optimal,0.0,3202,1.4330761432647705,0.44066208600997925
Bayes-optimal,0.5,138,1.59893798828125,0.37681159377098083
Bayes-optimal,1.0,131,1.5188343524932861,0.39694657921791077
Bayes-optimal,2.0,132,1.3335398435592651,0.49242424964904785
MNL,0.0,3202,1.4345118999481201,0.4440974295139313
MNL,0.5,138,1.6136518716812134,0.3695652186870575
MNL,1.0,131,1.5591235160827637,0.4122137427330017
MNL,2.0,132,1.677791714668274,0.32575756311416626
DeepMNL,0.0,3202,1.4345872402191162,0.44128668308258057
DeepMNL,0.5,138,1.6102161407470703,0.37681159377098083
DeepMNL,1.0,131,1.5510090589523315,0.4122137427330017
DeepMNL,2.0,132,1.6411653757095337,0.3333333432674408
Set Transformer,0.0,3202,1.433892011642456,0.44128668308258057
Set Transformer,0.5,138,1.6063100099563599,0.36231884360313416
Set Transformer,1.0,131,1.5406789779663086,0.3893129825592041
Set Transformer,2.0,132,1.573137879371643,0.32575756311416626
